epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5474.19,0.55678,0.85888,0.44528,1.04679,0.95645,0.72607,0.7473,0.71282,0.95578,0.72556,0.7465,0.62304,0.34504,1.12251,0.42851,0.63354,0.0700049,0.00333279,0.00333279
2,10892.7,0.48763,0.74946,0.37256,0.99945,0.99868,0.75218,0.77035,0.75387,0.99838,0.75197,0.77035,0.64076,0.22288,1.13421,0.17587,0.59542,0.0399389,0.00660013,0.00660013
3,16240.2,0.45407,0.70615,0.34842,0.97842,0.99833,0.75187,0.77439,0.75736,0.99794,0.75179,0.77431,0.65852,0.2344,0.98263,0.21114,0.61026,0.00980692,0.00980147,0.00980147
4,21576.9,0.44206,0.6903,0.3366,0.9699,0.9963,0.75189,0.78119,0.76193,0.99604,0.7517,0.78096,0.65793,0.25227,1.03127,0.23608,0.63626,0.009703,0.009703,0.009703
5,26926.2,0.4234,0.66616,0.32119,0.95721,0.99729,0.75167,0.80154,0.78179,0.99713,0.75155,0.80142,0.68001,0.27443,1.02267,0.25128,0.65426,0.009604,0.009604,0.009604
6,32257.6,0.41696,0.65712,0.3169,0.95214,0.99716,0.75121,0.80165,0.78163,0.99701,0.75109,0.80154,0.67813,0.27395,1.04845,0.26862,0.65526,0.009505,0.009505,0.009505
7,37592.8,0.41061,0.64917,0.31096,0.948,0.99691,0.75111,0.80483,0.78575,0.99682,0.75104,0.80476,0.68015,0.27182,1.07058,0.29228,0.65224,0.009406,0.009406,0.009406
8,42931,0.40512,0.64535,0.30687,0.94457,0.99727,0.75084,0.80789,0.78918,0.99716,0.75076,0.80786,0.68314,0.27098,1.07872,0.30612,0.65054,0.009307,0.009307,0.009307
9,48267.1,0.40226,0.63918,0.30445,0.94236,0.9975,0.75116,0.79269,0.77386,0.99741,0.75109,0.79267,0.66714,0.27136,1.08136,0.31644,0.65362,0.009208,0.009208,0.009208
10,53606.4,0.39867,0.63858,0.30325,0.94086,0.99787,0.74974,0.81086,0.79247,0.99779,0.74967,0.81083,0.68644,0.27653,1.07321,0.3735,0.66765,0.009109,0.009109,0.009109
11,58939.3,0.39624,0.63406,0.30096,0.93886,0.99813,0.74921,0.80587,0.78764,0.99804,0.74914,0.80581,0.68352,0.274,1.06254,0.4015,0.66741,0.00901,0.00901,0.00901
12,64271.1,0.39433,0.63289,0.30034,0.93795,0.99884,0.74977,0.78814,0.76932,0.99875,0.7497,0.78807,0.66524,0.25795,1.05979,0.37759,0.64935,0.008911,0.008911,0.008911
13,69612.6,0.3921,0.63049,0.29846,0.93674,0.99914,0.75091,0.78384,0.76501,0.99907,0.75086,0.78378,0.66047,0.24619,1.05583,0.32702,0.63148,0.008812,0.008812,0.008812
14,74931,0.38948,0.6269,0.29845,0.9359,0.99927,0.75157,0.78401,0.76526,0.99918,0.7515,0.78398,0.66038,0.23497,1.04395,0.29007,0.6178,0.008713,0.008713,0.008713
15,80297.9,0.38797,0.62416,0.29581,0.93372,0.99936,0.7518,0.78744,0.76878,0.99927,0.75173,0.7874,0.66569,0.22524,1.03893,0.26744,0.60651,0.008614,0.008614,0.008614
16,85632.8,0.38485,0.62031,0.29585,0.93239,0.99912,0.75194,0.78579,0.76778,0.99903,0.75188,0.78578,0.66462,0.22556,1.03356,0.26319,0.60221,0.008515,0.008515,0.008515
17,90962.9,0.38324,0.62086,0.29367,0.9307,0.9989,0.75207,0.78575,0.76808,0.99882,0.752,0.78574,0.66466,0.22663,1.04178,0.25151,0.60166,0.008416,0.008416,0.008416
18,96307.4,0.38287,0.62131,0.29285,0.93117,0.99869,0.752,0.78529,0.76773,0.99862,0.75195,0.78528,0.66557,0.21679,1.03744,0.24923,0.59989,0.008317,0.008317,0.008317
19,101619,0.381,0.61545,0.29264,0.92968,0.99811,0.75203,0.78441,0.76623,0.99802,0.75196,0.7844,0.66401,0.21162,1.04286,0.24936,0.59858,0.008218,0.008218,0.008218
20,106953,0.38151,0.61749,0.29282,0.92988,0.99808,0.75193,0.78374,0.7651,0.99799,0.75187,0.78374,0.66507,0.21132,1.03223,0.24929,0.6001,0.008119,0.008119,0.008119
21,112277,0.37704,0.61264,0.29003,0.92735,0.99768,0.75162,0.78619,0.7678,0.99757,0.75154,0.78618,0.66803,0.21232,1.07181,0.24577,0.60043,0.00802,0.00802,0.00802
22,117624,0.37713,0.61454,0.28759,0.92786,0.9973,0.7517,0.79139,0.77231,0.99717,0.75164,0.79139,0.67452,0.21195,1.13726,0.23425,0.60281,0.007921,0.007921,0.007921
23,122965,0.37761,0.61206,0.28954,0.92738,0.99744,0.75196,0.80712,0.78756,0.99742,0.75195,0.80711,0.68995,0.21234,1.33322,0.22998,0.60488,0.007822,0.007822,0.007822
24,128286,0.37431,0.61028,0.28726,0.92647,0.99703,0.752,0.81415,0.79486,0.99689,0.75198,0.81414,0.69837,0.2142,1.49044,0.22168,0.60692,0.007723,0.007723,0.007723
25,133639,0.3735,0.60777,0.28671,0.92495,0.99706,0.75198,0.81757,0.79922,0.99708,0.75192,0.81757,0.70284,0.21149,1.43431,0.214,0.6065,0.007624,0.007624,0.007624
26,138966,0.37127,0.60761,0.28499,0.92379,0.99715,0.75183,0.81814,0.79976,0.99709,0.75182,0.81814,0.70391,0.20873,1.3571,0.20926,0.60409,0.007525,0.007525,0.007525
27,144294,0.37047,0.60721,0.28395,0.92326,0.99717,0.7518,0.82445,0.80618,0.99697,0.75177,0.82444,0.71174,0.20481,1.24536,0.20448,0.59817,0.007426,0.007426,0.007426
28,149656,0.36732,0.60368,0.28257,0.92231,0.99701,0.75175,0.82849,0.80976,0.99681,0.75177,0.82848,0.71579,0.20522,1.17712,0.20056,0.59943,0.007327,0.007327,0.007327
29,155011,0.36515,0.60282,0.28054,0.92064,0.99663,0.75177,0.82887,0.80969,0.99626,0.7516,0.82884,0.7151,0.2038,1.11363,0.19868,0.59968,0.007228,0.007228,0.007228
30,160350,0.36526,0.6038,0.28113,0.92136,0.99667,0.7518,0.82762,0.80847,0.9963,0.75159,0.82761,0.71251,0.20044,1.08174,0.20547,0.5977,0.007129,0.007129,0.007129
31,165665,0.36544,0.60324,0.28014,0.92067,0.99645,0.75175,0.83326,0.81442,0.99619,0.75156,0.83326,0.71828,0.20007,1.05345,0.20835,0.59827,0.00703,0.00703,0.00703
32,171010,0.36485,0.59835,0.28026,0.92063,0.99709,0.7514,0.83527,0.817,0.99679,0.75142,0.83526,0.72213,0.19928,1.03029,0.20743,0.5985,0.006931,0.006931,0.006931
33,176346,0.36185,0.59709,0.27842,0.9199,0.99703,0.75168,0.83512,0.81614,0.99691,0.75169,0.83512,0.72135,0.19989,1.02039,0.20948,0.59976,0.006832,0.006832,0.006832
34,181657,0.36187,0.59894,0.27897,0.91984,0.99737,0.75177,0.83302,0.81391,0.99723,0.75173,0.83301,0.71929,0.2029,1.01541,0.20683,0.60347,0.006733,0.006733,0.006733
35,186977,0.35977,0.59546,0.27738,0.91904,0.99763,0.75182,0.83288,0.81371,0.9975,0.75172,0.83288,0.71911,0.20249,1.01573,0.19944,0.60291,0.006634,0.006634,0.006634
36,192319,0.35883,0.59476,0.27751,0.91843,0.99757,0.75176,0.83156,0.81285,0.99713,0.75171,0.83155,0.71732,0.2035,1.00914,0.19829,0.60197,0.006535,0.006535,0.006535
37,197613,0.35835,0.5919,0.27666,0.91781,0.99766,0.75173,0.83264,0.81401,0.99724,0.75182,0.83264,0.7186,0.20308,1.00797,0.19464,0.60357,0.006436,0.006436,0.006436
38,202936,0.35607,0.58989,0.27458,0.91681,0.99736,0.75187,0.83274,0.81404,0.99722,0.75201,0.83273,0.71866,0.20306,1.00825,0.1909,0.6049,0.006337,0.006337,0.006337
39,208266,0.35504,0.58897,0.27383,0.91591,0.99702,0.75203,0.82832,0.80974,0.99697,0.752,0.82832,0.71305,0.20379,1.01807,0.18826,0.60588,0.006238,0.006238,0.006238
40,213581,0.35284,0.58698,0.27143,0.91505,0.99728,0.75179,0.82993,0.81136,0.99715,0.75173,0.82991,0.7134,0.20554,1.03033,0.18419,0.60669,0.006139,0.006139,0.006139
41,218915,0.35306,0.58653,0.27335,0.9149,0.99813,0.75124,0.83208,0.81385,0.99667,0.75178,0.83206,0.71471,0.20767,1.03844,0.18016,0.6074,0.00604,0.00604,0.00604
42,224242,0.35125,0.58428,0.27191,0.91405,0.99779,0.75137,0.83103,0.8135,0.99678,0.7516,0.83101,0.71394,0.20795,1.03956,0.17904,0.60678,0.005941,0.005941,0.005941
43,229566,0.3514,0.58272,0.27057,0.91415,0.99752,0.75137,0.83183,0.81443,0.99608,0.75185,0.83183,0.71536,0.20937,1.04033,0.17883,0.60789,0.005842,0.005842,0.005842
44,234904,0.34846,0.58197,0.2697,0.91235,0.997,0.7517,0.83121,0.81358,0.99645,0.75166,0.8312,0.71511,0.20867,1.04183,0.17833,0.60673,0.005743,0.005743,0.005743
45,240233,0.34854,0.5825,0.26908,0.91339,0.99741,0.75117,0.83173,0.81442,0.99569,0.75167,0.83173,0.71702,0.21122,1.03748,0.18098,0.60874,0.005644,0.005644,0.005644
46,245579,0.34667,0.57967,0.2673,0.91245,0.99715,0.75125,0.82971,0.81282,0.99598,0.75157,0.82967,0.71446,0.21355,1.04468,0.18023,0.60957,0.005545,0.005545,0.005545
47,250912,0.34524,0.57903,0.26695,0.91218,0.99738,0.75134,0.83114,0.8151,0.99689,0.75104,0.83102,0.71534,0.2142,1.05994,0.17673,0.60971,0.005446,0.005446,0.005446
48,256244,0.3447,0.57688,0.26819,0.91036,0.9973,0.75133,0.83128,0.8153,0.99643,0.75138,0.83116,0.71588,0.21494,1.06511,0.18193,0.61063,0.005347,0.005347,0.005347
49,261574,0.34281,0.57301,0.26609,0.90918,0.99784,0.75144,0.83156,0.81625,0.99749,0.75132,0.83146,0.71669,0.21705,1.0664,0.18298,0.61116,0.005248,0.005248,0.005248
50,266899,0.341,0.57629,0.26386,0.90893,0.99776,0.75142,0.83163,0.81424,0.99737,0.75134,0.83158,0.71547,0.21705,1.09197,0.1843,0.61078,0.005149,0.005149,0.005149
51,272243,inf,0.57269,0.26336,0.90805,0.99772,0.75162,0.83318,0.81565,0.99704,0.7516,0.83311,0.71614,0.21612,1.10444,0.18195,0.6092,0.00505,0.00505,0.00505
52,277574,0.3386,0.57185,0.26186,0.9079,0.99774,0.75167,0.83253,0.8157,0.99754,0.75152,0.83246,0.71461,0.2148,1.10077,0.18018,0.60759,0.004951,0.004951,0.004951
53,282920,0.33642,0.57037,0.26092,0.90654,0.99781,0.75155,0.83232,0.81609,0.99757,0.75137,0.83221,0.71463,0.21504,1.09265,0.18103,0.60932,0.004852,0.004852,0.004852
54,288254,0.33686,0.56775,0.26051,0.90689,0.99795,0.7514,0.83239,0.81594,0.99749,0.75127,0.83228,0.71481,0.21641,1.07369,0.18127,0.60826,0.004753,0.004753,0.004753
55,293562,0.3344,0.56649,0.25987,0.90541,0.99744,0.75154,0.83301,0.81674,0.99717,0.75135,0.83293,0.71498,0.21866,1.08188,0.18289,0.60766,0.004654,0.004654,0.004654
56,298872,0.33334,0.56522,0.25892,0.90581,0.9977,0.75162,0.83338,0.81861,0.9975,0.75147,0.83332,0.7142,0.21559,1.09485,0.17928,0.6044,0.004555,0.004555,0.004555
57,304192,0.33114,0.56417,0.25689,0.90462,0.99818,0.75171,0.83562,0.82045,0.99787,0.75164,0.83557,0.71605,0.21492,1.10463,0.17714,0.6037,0.004456,0.004456,0.004456
58,309509,0.33059,0.56217,0.25746,0.90358,0.9984,0.7517,0.8371,0.82261,0.99817,0.75155,0.83707,0.71755,0.21369,1.09912,0.17802,0.60217,0.004357,0.004357,0.004357
59,314828,0.32922,0.55907,0.25629,0.90264,0.9984,0.75178,0.83746,0.823,0.99825,0.75166,0.83744,0.71761,0.21254,1.09464,0.17826,0.60377,0.004258,0.004258,0.004258
60,320156,0.32988,0.55952,0.25643,0.90283,0.99818,0.75185,0.8375,0.8233,0.99805,0.75188,0.83749,0.71729,0.21351,1.10438,0.17946,0.60243,0.004159,0.004159,0.004159
61,325486,0.32683,0.55842,0.25329,0.90251,0.99801,0.75188,0.83697,0.8229,0.99792,0.75185,0.83694,0.71623,0.2128,1.10318,0.17815,0.59936,0.00406,0.00406,0.00406
62,330816,0.32394,0.55387,0.25155,0.90105,0.99777,0.75183,0.83746,0.823,0.99764,0.75182,0.83745,0.71636,0.21273,1.10575,0.17846,0.59919,0.003961,0.003961,0.003961
63,336142,0.324,0.55467,0.25177,0.90066,0.99796,0.75185,0.83896,0.82475,0.99787,0.75178,0.83893,0.71785,0.21431,1.10398,0.17885,0.5976,0.003862,0.003862,0.003862
64,341468,0.3216,0.55168,0.24961,0.89918,0.99801,0.75183,0.83783,0.82392,0.99794,0.75177,0.83783,0.71585,0.21368,1.11021,0.1788,0.59615,0.003763,0.003763,0.003763
65,346805,0.31997,0.55231,0.2486,0.89886,0.99827,0.75193,0.83802,0.82405,0.99818,0.75187,0.83802,0.71563,0.22687,1.11083,0.19375,0.59631,0.003664,0.003664,0.003664
66,352146,0.31865,0.54958,0.24691,0.89735,0.99864,0.75119,0.82637,0.81165,0.9986,0.75116,0.82635,0.70369,0.2377,1.11941,0.21838,0.59833,0.003565,0.003565,0.003565
67,357469,0.31759,0.54848,0.24654,0.89685,0.99862,0.75103,0.82137,0.80571,0.99855,0.75098,0.82135,0.69803,0.23726,1.1201,0.24079,0.60076,0.003466,0.003466,0.003466
68,362779,0.31604,0.54271,0.24653,0.89642,0.99842,0.75104,0.81763,0.80174,0.99842,0.75104,0.81762,0.69552,0.23424,1.10927,0.25378,0.60064,0.003367,0.003367,0.003367
69,368098,0.31311,0.54217,0.24457,0.89501,0.99862,0.75109,0.81628,0.8002,0.99859,0.75107,0.81625,0.69469,0.23532,1.10096,0.26272,0.60162,0.003268,0.003268,0.003268
70,373427,0.31331,0.54168,0.24395,0.89487,0.99859,0.75097,0.81577,0.80012,0.99859,0.75097,0.81576,0.69404,0.23267,1.10597,0.27093,0.60125,0.003169,0.003169,0.003169
71,378740,0.3094,0.54258,0.24082,0.89361,0.99866,0.75084,0.81382,0.79808,0.99868,0.75086,0.81381,0.69087,0.22967,1.1163,0.27793,0.60019,0.00307,0.00307,0.00307
72,384051,0.30949,0.53629,0.24155,0.8928,0.99879,0.75089,0.81327,0.79877,0.99884,0.75092,0.81327,0.69064,0.22887,1.12057,0.28143,0.59913,0.002971,0.002971,0.002971
73,389376,0.30615,0.53414,0.23886,0.89103,0.99882,0.75094,0.8127,0.79818,0.99887,0.75097,0.81271,0.69011,0.22769,1.11937,0.28061,0.59782,0.002872,0.002872,0.002872
74,394713,0.3052,0.53378,0.23906,0.89155,0.99889,0.75071,0.81262,0.79784,0.99889,0.75071,0.81261,0.68918,0.23,1.12612,0.28122,0.59859,0.002773,0.002773,0.002773
75,400046,0.30329,0.52996,0.23699,0.89037,0.99886,0.75046,0.81264,0.79812,0.99886,0.75046,0.81263,0.68908,0.22963,1.12601,0.28137,0.59784,0.002674,0.002674,0.002674
76,405372,0.30248,0.5296,0.23667,0.88994,0.99903,0.75072,0.81273,0.79869,0.99906,0.75074,0.81272,0.6886,0.22951,1.12482,0.27787,0.59702,0.002575,0.002575,0.002575
77,410686,0.29913,0.52719,0.23505,0.88783,0.99899,0.75116,0.81185,0.79806,0.99901,0.75118,0.81185,0.68725,0.22583,1.12857,0.27932,0.59924,0.002476,0.002476,0.002476
78,416019,0.2979,0.52472,0.23277,0.88752,0.99895,0.75141,0.81196,0.79846,0.99892,0.75139,0.81196,0.68816,0.22791,1.12037,0.27978,0.60142,0.002377,0.002377,0.002377
79,421354,0.29487,0.5227,0.23096,0.88594,0.99897,0.7515,0.81223,0.7992,0.99895,0.75149,0.81224,0.68825,0.22902,1.12548,0.27856,0.60026,0.002278,0.002278,0.002278
80,426676,0.29332,0.52085,0.23027,0.88558,0.99908,0.75128,0.81346,0.80029,0.99911,0.7513,0.81347,0.68912,0.22958,1.13637,0.27559,0.60103,0.002179,0.002179,0.002179
81,431998,0.29082,0.5194,0.22771,0.88419,0.99908,0.7511,0.81499,0.80162,0.99912,0.75113,0.81498,0.6886,0.23157,1.16149,0.27155,0.6023,0.00208,0.00208,0.00208
82,437337,0.28953,0.51482,0.22726,0.8827,0.99936,0.75084,0.81536,0.80209,0.99941,0.75087,0.81535,0.68892,0.23409,1.16375,0.26961,0.60322,0.001981,0.001981,0.001981
83,442656,0.28536,0.51178,0.22393,0.88187,0.99914,0.75077,0.81615,0.80328,0.99919,0.75081,0.81614,0.68892,0.23465,1.15663,0.26752,0.60061,0.001882,0.001882,0.001882
84,447976,0.28383,0.50893,0.22285,0.88033,0.99921,0.7508,0.81603,0.80341,0.99925,0.75083,0.81603,0.6881,0.2354,1.1586,0.26692,0.5994,0.001783,0.001783,0.001783
85,453296,0.28102,0.50877,0.22139,0.87871,0.99922,0.75053,0.81603,0.80326,0.99926,0.75056,0.81602,0.68534,0.23801,1.16932,0.26043,0.59936,0.001684,0.001684,0.001684
86,458626,0.27883,0.50557,0.2192,0.87791,0.99912,0.75012,0.81551,0.80244,0.99914,0.75013,0.8155,0.68234,0.24008,1.18065,0.258,0.59914,0.001585,0.001585,0.001585
87,463941,0.27553,0.50308,0.21744,0.87675,0.99912,0.75004,0.81665,0.80403,0.99916,0.75007,0.81664,0.68377,0.24017,1.17567,0.25378,0.59848,0.001486,0.001486,0.001486
88,469261,0.27339,0.49905,0.2156,0.8756,0.9991,0.75012,0.81647,0.80404,0.99912,0.75014,0.81646,0.68467,0.23977,1.16878,0.25276,0.5989,0.001387,0.001387,0.001387
89,474561,0.27116,0.49727,0.21306,0.87459,0.99901,0.7501,0.81641,0.80404,0.99903,0.75012,0.8164,0.68275,0.23985,1.18261,0.25323,0.60139,0.001288,0.001288,0.001288
90,479877,0.26823,0.49428,0.21144,0.87343,0.99894,0.75004,0.8159,0.80357,0.99897,0.75005,0.81588,0.68141,0.24034,1.18531,0.25576,0.60319,0.001189,0.001189,0.001189
91,485429,0.24743,0.46762,0.19664,0.86438,0.99855,0.74969,0.8151,0.80257,0.99864,0.74975,0.81509,0.67876,0.24076,1.19029,0.2661,0.60435,0.00109,0.00109,0.00109
92,490713,0.24428,0.46416,0.19288,0.86177,0.99842,0.7496,0.81434,0.80127,0.99846,0.74964,0.81435,0.67906,0.24056,1.18692,0.2764,0.60487,0.000991,0.000991,0.000991
93,496008,0.23989,0.45937,0.18985,0.85981,0.99848,0.74967,0.8123,0.79941,0.99855,0.74972,0.81239,0.67715,0.23675,1.19532,0.28406,0.60375,0.000892,0.000892,0.000892
94,501300,0.2359,0.4567,0.18639,0.85831,0.99831,0.74932,0.81056,0.79722,0.99839,0.74939,0.81066,0.67437,0.23499,1.20242,0.29101,0.60499,0.000793,0.000793,0.000793
95,506585,0.23245,0.45289,0.18377,0.85702,0.99837,0.74863,0.80742,0.79549,0.99851,0.74873,0.80772,0.67283,0.23271,1.20535,0.2952,0.60599,0.000694,0.000694,0.000694
