Layer,From,N,Params,Module,Arguments
0,-1,1,0,Sequential,[]
1,0,1,0,Conv,[]
2,1,1,0,Conv2d,"kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), dilation=(1, 1)"
3,1,1,0,BatchNorm2d,[]
4,1,1,0,SiLU,[]
5,0,1,0,Conv,[]
6,5,1,0,Conv2d,"kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), dilation=(1, 1)"
7,5,1,0,BatchNorm2d,[]
8,5,1,0,SiLU,[]
9,0,1,0,C2f,[]
10,9,1,0,Conv,[]
11,10,1,0,Conv2d,"kernel_size=(1, 1), stride=(1, 1), padding=(0, 0), dilation=(1, 1)"
12,10,1,0,BatchNorm2d,[]
13,10,1,0,SiLU,[]
14,9,1,0,Conv,[]
15,14,1,0,Conv2d,"kernel_size=(1, 1), stride=(1, 1), padding=(0, 0), dilation=(1, 1)"
16,14,1,0,BatchNorm2d,[]
17,14,1,0,SiLU,[]
18,9,1,0,ModuleList,[]
19,18,1,0,Bottleneck,[]
20,19,1,0,Conv,[]
21,20,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
22,20,1,0,BatchNorm2d,[]
23,20,1,0,SiLU,[]
24,19,1,0,Conv,[]
25,24,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
26,24,1,0,BatchNorm2d,[]
27,24,1,0,SiLU,[]
28,18,1,0,Bottleneck,[]
29,28,1,0,Conv,[]
30,29,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
31,29,1,0,BatchNorm2d,[]
32,29,1,0,SiLU,[]
33,28,1,0,Conv,[]
34,33,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
35,33,1,0,BatchNorm2d,[]
36,33,1,0,SiLU,[]
37,18,1,0,Bottleneck,[]
38,37,1,0,Conv,[]
39,38,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
40,38,1,0,BatchNorm2d,[]
41,38,1,0,SiLU,[]
42,37,1,0,Conv,[]
43,42,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
44,42,1,0,BatchNorm2d,[]
45,42,1,0,SiLU,[]
46,0,1,0,Conv,[]
47,46,1,0,Conv2d,"kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), dilation=(1, 1)"
48,46,1,0,BatchNorm2d,[]
49,46,1,0,SiLU,[]
50,0,1,0,C2f,[]
51,50,1,0,Conv,[]
52,51,1,0,Conv2d,"kernel_size=(1, 1), stride=(1, 1), padding=(0, 0), dilation=(1, 1)"
53,51,1,0,BatchNorm2d,[]
54,51,1,0,SiLU,[]
55,50,1,0,Conv,[]
56,55,1,0,Conv2d,"kernel_size=(1, 1), stride=(1, 1), padding=(0, 0), dilation=(1, 1)"
57,55,1,0,BatchNorm2d,[]
58,55,1,0,SiLU,[]
59,50,1,0,ModuleList,[]
60,59,1,0,Bottleneck,[]
61,60,1,0,Conv,[]
62,61,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
63,61,1,0,BatchNorm2d,[]
